姓名   ,出生日期,國籍,性別,年齡,聯絡方式,業務單位,年資,銷售數量,銷售金額
鄭元暢,1983/12/7,臺灣,男,40,(+886)0962307652,演員,10,489,6284
韓紅,1964/5/5,中國,女,59,(+886)0929498706,歌手,35,828,8731
李凱莉,1988/12/1,臺灣,女,35,(+886)0917298721,綜藝,12,646,4312
張曼玉,1967/3/18,香港,女,56,(+886)0926701528,演員,40,703,6087
范文芳,1973/6/19,中國,女,50,(+886)0938906182,歌手,20,177,3473
許志安,1970/3/5,香港,男,53,(+886)0920357952,演員,32,531,4154
楊韻,2000/5/19,中國,女,23,(+886)0917895898,演員,10,963,824
劉以豪,1998/11/7,臺灣,男,25,(+886)0980082347,演員,5,112,
朱俐靜,1995/10/16,臺灣,女,28,(+886)0987812745,歌手,6,,
林俊傑,1981/9/15,,,42,(+886)0935583060,歌手,14,122,5244
鄭秀文,1974/4/29,香港,女,49,(+886)0971650233,歌手,36,413,3134
許書豪,1985/7/17,臺灣,男,38,(+886)0924879688,歌手,12,903,6413
陳柏霖,1984/6/6,臺灣,,39,(+886)0911280170,演員,16,94,2483
田馥甄,1983/8/14,臺灣,女,40,(+886)0924613657,歌手,23,486,9242
周渝民,1981/2/16,臺灣,男,42,(+886)0968434951,演員,24,,8019
黃小琥,1972/8/9,臺灣,女,51,(+886)0996742790,歌手,38,185,1292
鄭中基,1967/12/26,香港,男,56,(+886)0920771746,演員,39,684,5655
陳冠希,1974/5/30,,男,49,(+886)0963478511,演員,21,62,1726
阿嬌,1980/8/30,香港,女,43,(+886)0924206107,演員,25,756,3826
彭于晏,1984/6/9,臺灣,男,39,(+886)0965587786,演員,14,277,7927
陳小春,1976/4/12,香港,男,47,(+886)0968690810,演員,34,351,7496
陳慧琳,1970/4/1,香港,女,53,(+886)0913324763,歌手,39,973,2266
范瑋琪,1982/3/25,臺灣,女,41,(+886)0978593497,歌手,24,752,5119
蔣瑩,1996/5/25,,女,27,(+886)0934196892,演員,5,412,
韓松,1969/6/30,,男,54,(+886)0960625649,演員,38,98,3563
何潤東,1975/5/13,臺灣,男,48,(+886)0940476854,演員,36,107,3228
楊宗緯,1987/3/11,臺灣,男,36,(+886)0915805928,歌手,12,166,4572
林宥嘉,1985/6/22,臺灣,男,38,(+886)0952634818,歌手,12,414,4520
任賢齊,1976/4/17,臺灣,男,47,(+886)0993240038,歌手,36,56,3066
費玉清,1960/2/26,臺灣,男,63,(+886)0958225047,歌手,49,,4149
吳彥祖,1976/6/12,香港,男,47,(+886)0937066384,演員,26,908,7645
陳奕迅,1970/9/9,香港,男,53,(+886)0932530961,歌手,31,837,4057
吳克群,1981/8/25,臺灣,男,42,(+886)0942685756,歌手,12,246,589
趙薇,1974/8/13,中國,女,49,(+886)0983162158,演員,38,674,5891
張鈞甯,1982/7/25,臺灣,女,41,(+886)0961385928,演員,21,857,4648
張智成,1978/12/19,香港,男,45,(+886)0964843189,歌手,23,929,8605
楊志龍,1974/9/2,臺灣,男,49,(+886)0964388614,演員,21,309,7879
王菲,1969/4/18,香港,女,54,(+886)0924101297,歌手,38,139,6027
胡歌,1987/8/9,中國,男,36,(+886)0961204192,演員,24,328,4358
韓庚,1985/4/15,中國,男,38,(+886)0925792814,演員,18,283,4528
王若琳,1994/3/28,臺灣,女,29,(+886)0934226896,歌手,11,175,6308
鍾漢良,1976/1/6,香港,男,47,(+886)0948057496,歌手,39,682,510
楊芳儀,1998/5/27,中國,女,25,(+886)0973370220,演員,6,780,6105
劉德華,1961/7/28,香港,男,62,(+886)0983844174,演員,46,182,5024
唐嫣,1998/3/9,中國,女,25,(+886)0984298735,演員,13,914,790
蔡依林,1981/6/10,臺灣,女,42,(+886)0943807978,歌手,24,349,9774
林志炫,1979/7/19,臺灣,男,44,(+886)0971609942,歌手,31,817,2572
曾之喬,1982/3/13,臺灣,女,41,(+886)0942683230,演員,18,103,4280
炎亞綸,1989/2/19,臺灣,男,34,(+886)0942567714,綜藝,19,495,6663
李宇春,1995/9/21,中國,女,28,(+886)0946918999,歌手,8,140,8452
宋茜,1996/3/21,中國,女,27,(+886)0991430949,演員,10,397,690
何欣穗,1994/11/19,香港,女,29,(+886)0998049376,演員,14,958,6700
王力宏,1978/10/1,臺灣,男,45,(+886)0911072194,歌手,21,169,6334
張韶涵,1988/2/29,臺灣,女,35,(+886)0935713332,歌手,23,154,3255
陳妍希,1990/8/22,臺灣,女,33,(+886)0957246283,演員,14,145,6180
江疏影,1989/3/1,中國,女,34,(+886)0952875933,演員,19,513,9500
林強,1967/7/17,臺灣,男,56,(+886)0942802991,歌手,43,,
蔣卓儀,1995/11/28,中國,女,28,(+886)0930533541,演員,8,907,8958
許茹芸,1977/4/11,臺灣,女,46,(+886)0926184440,歌手,32,284,1825
陳曉東,1975/12/17,香港,男,48,(+886)0983836778,歌手,34,224,3440
王大文,1999/8/4,中國,女,24,(+886)0951455485,綜藝,2,355,6452
楊林,1968/8/12,臺灣,女,55,(+886)0929746517,歌手,30,757,943
李連杰,1954/8/8,,男,69,(+886)0987559758,演員,45,297,2488
任家萱,1985/9/17,臺灣,女,38,(+886)0968135686,歌手,22,215,6743
張杰,1996/1/14,中國,男,27,(+886)0930940573,歌手,7,529,9005
陳偉霆,1995/6/17,香港,男,28,(+886)0928509081,演員,10,460,3928
謝霆鋒,1981/2/19,香港,男,42,(+886)0920764230,演員,26,980,9707
張嘉倪,1995/3/17,中國,女,28,(+886)0959937213,演員,8,882,5376
金城武,1969/9/5,臺灣,男,54,(+886)0921785744,演員,30,980,8938
郭富城,1962/6/22,香港,男,61,(+886)0921516020,演員,41,360,6461
呂建中,1984/3/25,臺灣,男,39,(+886)0983327866,歌手,13,722,3946
倪安東,1986/11/8,臺灣,男,37,(+886)0973172298,綜藝,11,653,
韋禮安,1988/2/23,臺灣,男,35,(+886)0930006561,歌手,9,734,6698
李心潔,1976/5/8,香港,女,47,(+886)0941495477,歌手,30,559,1669
吳倩,1994/10/4,中國,女,29,(+886)0973165808,演員,4,770,1883
林熙蕾,1974/9/6,香港,女,49,(+886)0978317439,演員,29,,7196
言承旭,1981/9/23,臺灣,男,42,(+886)0949361230,演員,23,270,3440
余文樂,1974/7/9,香港,男,49,(+886)0960276876,演員,31,603,2886
鄭伊健,1970/2/19,香港,男,53,(+886)0974249090,演員,28,80,6343
宋佳,1995/3/25,中國,女,28,(+886)0922193286,演員,6,765,5890
張學友,1960/1/20,香港,男,63,(+886)0977587374,歌手,43,992,724
鍾楚曦,1994/4/15,香港,女,29,(+886)0921698454,演員,7,764,8362
邱鋒澤,1985/11/27,臺灣,男,38,(+886)0949721079,演員,10,434,2321
吳尊,1989/9/17,,男,34,(+886)0947168361,演員,12,130,6837
范曉萱,1977/12/6,臺灣,女,46,(+886)0915696965,歌手,24,73,5237
吳宗憲,1960/10/7,臺灣,男,63,(+886)0917627776,綜藝,39,512,6454
許廷鏗,1995/5/21,,女,28,(+886)0912234986,演員,2,220,7167
梁文音,1989/8/24,臺灣,女,34,(+886)0947669427,歌手,10,740,7713
黃韻玲,1969/11/22,臺灣,女,54,(+886)0998759866,歌手,22,116,5730
李宗盛,1956/7/27,臺灣,男,67,(+886)0921738215,歌手,48,210,4575
林心如,1977/5/19,臺灣,女,46,(+886)0954369217,演員,26,758,9592
賈曉晨,1997/3/1,中國,女,26,(+886)0945736332,演員,3,,7860
邱黎寬,1959/5/25,臺灣,女,64,(+886)0914671015,綜藝,41,617,9679
許紹洋,1975/10/2,臺灣,男,48,(+886)0987904551,演員,21,94,572
羅志祥,1980/8/2,臺灣,男,43,(+886)0992471034,歌手,24,307,8626
朱茵,1974/7/22,香港,女,49,(+886)0968149987,演員,33,,
鞠婧,2000/12/28,臺灣,女,23,(+886)0965005576,演員,13,439,4559
阮經天,1985/12/4,臺灣,男,38,(+886)0975194453,演員,16,902,6537
許魏洲,1988/3/24,,女,35,(+886)0967046534,綜藝,6,726,8098
林信宏,1982/6/24,臺灣,男,41,(+886)0935752518,歌手,21,759,674
梁靜茹,1976/8/12,,女,47,(+886)0962653540,歌手,24,210,8628
龔芝怡,1997/9/12,中國,女,26,(+886)0970449809,演員,5,603,3443
劉宇寧,1995/9/6,中國,男,28,(+886)0972729174,演員,4,912,8870
徐熙媛,1978/3/21,臺灣,女,45,(+886)0981789545,綜藝,25,78,4290
劉詩詩,1995/8/26,中國,女,28,(+886)0936870381,演員,7,462,6581
辛龍,1965/10/4,臺灣,男,58,(+886)0912719109,綜藝,23,,
莫文蔚,1972/7/9,香港,女,51,(+886)0927840554,歌手,32,839,8467
李敏鎬,1977/3/24,,男,46,(+886)0927492885,歌手,21,693,7972
王菀之,1999/3/11,中國,女,24,(+886)0924550518,演員,6,545,
楊冪,1995/12/18,中國,女,28,(+886)0939747451,演員,13,495,3974
